Date,Current_Close,Actual_Next_Day_Close,Predicted_Next_Day_Close,Predicted_Trend,Actual_Trend,Prediction_Difference
2021-06-04,292.5199890136719,289.4599914550781,292.324599609375,Downtrend,Downtrend,0.99
2021-06-14,283.5299987792969,283.94000244140625,284.0921939086914,Uptrend,Uptrend,0.05
2021-06-23,274.6600036621094,275.489990234375,278.45649810791014,Uptrend,Uptrend,1.08
2021-07-14,278.3099975585937,279.7200012207031,278.71500091552736,Uptrend,Uptrend,-0.36
2021-08-05,280.2099914550781,285.6300048828125,280.2876953125,Uptrend,Uptrend,-1.87
2021-08-06,285.6300048828125,287.2300109863281,284.88660095214846,Downtrend,Uptrend,-0.82
2021-08-26,285.2699890136719,286.6000061035156,285.8907925415039,Uptrend,Uptrend,-0.25
2021-09-10,277.6000061035156,279.9200134277344,277.8489013671875,Uptrend,Uptrend,-0.74
2021-09-13,279.9200134277344,277.20001220703125,280.38180572509765,Uptrend,Downtrend,1.15
2021-09-29,277.2900085449219,272.94000244140625,277.0397045898437,Downtrend,Downtrend,1.5
2021-10-15,284.2099914550781,282.5899963378906,283.4733926391602,Downtrend,Downtrend,0.31
2021-11-26,283.0899963378906,282.1199951171875,283.6244998168945,Uptrend,Downtrend,0.53
2021-12-09,284.5199890136719,288.2300109863281,283.1295941162109,Downtrend,Uptrend,-1.77
2022-01-19,314.75,311.010009765625,317.6362023925781,Uptrend,Downtrend,2.13
2022-01-20,311.010009765625,305.2200012207031,310.3431982421875,Downtrend,Downtrend,1.68
2022-02-15,316.20001220703125,315.6499938964844,314.6745928955078,Downtrend,Downtrend,-0.31
2022-03-02,323.6400146484375,327.739990234375,323.19210052490234,Downtrend,Uptrend,-1.39
2022-03-03,327.739990234375,325.3399963378906,327.5474984741211,Downtrend,Downtrend,0.68
2022-03-04,325.3399963378906,322.7200012207031,325.02759429931643,Downtrend,Downtrend,0.72
2022-03-10,325.29998779296875,326.6000061035156,325.6711932373047,Uptrend,Uptrend,-0.28
2022-04-22,335.5599975585937,336.95001220703125,338.0366033935547,Uptrend,Uptrend,0.32
2022-06-15,278.92999267578125,268.5599975585937,276.39189666748047,Downtrend,Downtrend,2.92
2022-07-19,283.54998779296875,286.0400085449219,284.8191943359375,Uptrend,Uptrend,-0.43
2022-07-25,287.989990234375,285.3099975585937,288.61050201416015,Uptrend,Downtrend,1.16
2022-08-11,296.4700012207031,301.54998779296875,294.63440307617185,Downtrend,Uptrend,-2.29
2022-09-28,271.7799987792969,269.5799865722656,266.3722024536133,Downtrend,Downtrend,-1.19
2022-10-06,276.3099975585937,269.0400085449219,278.0242016601562,Uptrend,Downtrend,3.34
2022-11-30,318.6000061035156,315.8399963378906,315.8909002685547,Downtrend,Downtrend,0.02
2022-12-22,302.69000244140625,306.489990234375,306.13750122070314,Uptrend,Uptrend,-0.12
2023-01-10,316.3500061035156,320.3699951171875,316.22309631347656,Downtrend,Uptrend,-1.29
2023-02-16,308.17999267578125,308.239990234375,310.5772973632813,Uptrend,Uptrend,0.76
2023-02-17,308.239990234375,302.7200012207031,309.7982992553711,Uptrend,Downtrend,2.34
2023-03-02,307.75,312.45001220703125,306.1937030029297,Downtrend,Uptrend,-2.0
2023-03-27,302.1400146484375,302.32000732421875,304.42789978027344,Uptrend,Uptrend,0.7
2023-03-29,305.29998779296875,305.0799865722656,305.1035968017578,Downtrend,Downtrend,0.01
2023-04-24,326.04998779296875,324.3399963378906,325.2550939941406,Downtrend,Downtrend,0.28
2023-05-10,322.989990234375,322.6400146484375,320.34849700927737,Downtrend,Downtrend,-0.71
2023-06-27,335.3399963378906,334.1499938964844,335.4697018432617,Uptrend,Downtrend,0.39
2023-09-07,361.7999877929688,363.1499938964844,360.4045965576172,Downtrend,Uptrend,-0.76
2023-10-03,343.0400085449219,343.69000244140625,343.7442993164062,Uptrend,Uptrend,0.02
2023-10-09,345.45001220703125,348.5599975585937,344.397399597168,Downtrend,Uptrend,-1.19
2023-10-12,345.6600036621094,345.0899963378906,345.29220428466795,Downtrend,Downtrend,0.06
2023-10-26,336.1600036621094,331.7099914550781,337.77440002441404,Uptrend,Downtrend,1.83
2023-10-31,341.3299865722656,343.75,341.2657958984375,Downtrend,Uptrend,-0.72
2023-11-03,351.8099975585937,346.6300048828125,352.0085995483398,Uptrend,Downtrend,1.55
2023-11-07,346.1700134277344,346.29998779296875,346.247802734375,Uptrend,Uptrend,-0.02
2023-11-10,350.5599975585937,350.010009765625,351.16389617919924,Uptrend,Downtrend,0.33
2023-11-21,361.0,361.7999877929688,360.8185977172852,Downtrend,Uptrend,-0.27
2023-12-06,352.3800048828125,352.70001220703125,352.99840087890624,Uptrend,Uptrend,0.08
2023-12-20,355.3500061035156,356.1400146484375,357.55829956054686,Uptrend,Uptrend,0.4
2024-02-08,397.489990234375,398.3599853515625,397.1199920654297,Downtrend,Uptrend,-0.31
2024-02-14,398.6799926757813,403.4500122070313,398.7359002685547,Uptrend,Uptrend,-1.17
2024-02-26,409.1400146484375,408.9100036621094,415.27179779052733,Uptrend,Downtrend,1.56
2024-02-28,412.1400146484375,409.3999938964844,414.7208984375,Uptrend,Downtrend,1.3
2024-03-07,402.3900146484375,403.1499938964844,400.7257049560547,Downtrend,Uptrend,-0.6
2024-06-04,409.5299987792969,409.8500061035156,409.12629455566406,Downtrend,Uptrend,-0.18
2024-06-07,413.7200012207031,410.80999755859375,414.89519775390625,Uptrend,Downtrend,0.99
2024-06-20,409.1499938964844,409.6199951171875,410.5031976318359,Uptrend,Uptrend,0.22
2024-06-24,413.9800109863281,410.9700012207031,415.21289916992185,Uptrend,Downtrend,1.03
2024-07-25,433.2900085449219,437.6600036621094,435.4977017211914,Uptrend,Uptrend,-0.49
